鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
楠梓區,房地(土地+建物),高雄市楠梓區加仁路２５８號四樓,29.95,住,,,1110219,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701229,92.49,3,2,2,有,無,3400000,36761,,0.0,0,含租約；,RPUNMLQKLHHGFEE38DA,85.44,0.0,7.05,無,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２９２號,15.15,住,,,1100630,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土,1100513,91.94,0,0,0,無,有,7490000,97716,坡道平面,30.64,1500000,,RPRPMLPKLHHGFEE18DA,45.4,0.0,0.0,有,
左營區,車位,博愛二路２８０號等５５戶共有部分,5.13,住,,,1110302,土地1建物0車位2,,,其他,,,,0.0,0,0,0,有,有,3900000,,坡道平面,37.32,3900000,僅車位交易；,RPOOMLQKLHHGFEE87DA,0.0,0.0,0.0,有,0038
左營區,房地(土地+建物)+車位,高雄市左營區德威街６號五樓,26.94,住,,,1110129,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860603,171.75,4,2,2,有,有,11000000,64047,坡道平面,0.0,0,,RPQOMLQKLHHGFEE08DA,104.6,1.83,12.59,有,
楠梓區,房地(土地+建物),高雄市楠梓區大學五十街５６號三樓,14.77,住,,,1110220,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1051115,97.53999999999999,3,1,2,有,有,6780000,69510,,0.0,0,,RPROMLQKLHHGFEE18DA,53.72,4.19,6.56,有,0039
左營區,房地(土地+建物),高雄市左營區文自路５２４巷２３號,38.63,住,,,1110207,土地1建物1車位0,全,四層,透天厝,住家用,見使用執照,0890103,109.17,6,2,4,有,無,7230000,66227,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；,RPPPMLQKLHHGFEE08DA,100.62,0.0,8.55,無,0040
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學六十二街２８號二樓,19.36,住,,,1100214,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1061006,125.65,2,2,1,有,有,7400000,58894,坡道平面,32.05,0,,RPVPMLQKLHHGFEE68DA,54.16,2.38,5.14,有,0041
左營區,房地(土地+建物)+車位,高雄市左營區文自路３８５號十二樓之２,15.49,住,,,1110301,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050921,198.07,3,2,2,有,有,16560000,83607,坡道平面,14.94,0,含裝潢費；含傢俱設備費；親友、員工、共有人或其他特殊關係間之交易；,RPXPMLQKLHHGFEE88DA,93.9,0.0,30.05,有,0042
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十街６２號四樓,13.98,商,,,1110216,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050819,141.38,3,2,2,有,有,9243000,65377,坡道平面,11.16,0,含裝潢費；,RPXRMLQKLHHGFEE09DA,73.46,0.0,11.44,有,0043
左營區,房地(土地+建物),高雄市左營區大中二路２６６號二樓,15.42,住,,,1110221,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,114.15,3,2,2,有,有,8050000,70521,,0.0,0,,RPWVMLQKLHHGFEE76DA,70.76,3.49,4.13,有,0044
